feature,mean,std,min,max,median,missing_rate,p05,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
acc_open_past_24mths,4.592144182835024,3.068011822941204,0.0,64.0,4.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,9.0,10.0
dti_inv,0.5736343611509084,22.053310856865874,-1.001001001001001,1000.0,0.05662193582695327,0.0,0.03044974255819671,0.033680239197494584,0.03636231409766917,0.039000039928385605,0.0416129154603087,0.04426541513193898,0.04703447576476472,0.049997500124993745,0.05316038639044757,0.05662193582695327,0.06052902198971083,0.06497303474064575,0.07017051434987019,0.07638835752379969,0.0841679985159277,0.0945090262934001,0.1096371025706579,0.1351168743567424,0.19489377854144943
fico_mid_sq,486763.96863438823,44360.67994057782,374544.0,718256.25,478864.0,0.0,438244.0,444889.0,444889.0,451584.0,451584.0,458329.0,458329.0,465124.0,471969.0,478864.0,478864.0,485809.0,492804.0,499849.0,506944.0,514089.0,528529.0,543169.0,580644.0
